ddp:DDP_00001,Diagnosis: What was your diagnosis?
ddp:DDP_00002,Diagnosis: Date of diagnosis
ddp:DDP_00003,Diagnosis: Diagnosis Delay - Number of months/years
ddp:DDP_00004,Diagnosis: Diagnosis Delay 2 - Select months or years
ddp:DDP_00005,Diagnosis: Delayed speech development
ddp:DDP_00006,Diagnosis: Delayed motor development
ddp:DDP_00007,Diagnosis: Developmental backlog
ddp:DDP_00008,Diagnosis: Less endurance
ddp:DDP_00009,Diagnosis: Behavioral problems
ddp:DDP_00010,Diagnosis: Delay in walking
ddp:DDP_00011,Diagnosis: Fall more frequently
ddp:DDP_00012,Diagnosis: Thick calves
ddp:DDP_00013,Diagnosis: Wobbly way of walking
ddp:DDP_00014,Diagnosis: Difficulty to get up from the ground
ddp:DDP_00015,Diagnosis: POSITIVE FAMILY HISTORY
ddp:DDP_00016,Physical outcomes: Mobility
ddp:DDP_00017,Physical outcomes: Other comments about mobility
ddp:DDP_00018,Physical outcomes: Currently able to sit without support
ddp:DDP_00019,Physical outcomes: Currently able to walk more than 5 meters (without any help/support)
ddp:DDP_00020,Physical outcomes: 6 minutes walk test?
ddp:DDP_00021,Physical outcomes: 6 minutes walk test distance in meters
ddp:DDP_00022,Physical outcomes: 4 step climb test?
ddp:DDP_00023,Physical outcomes: 4-step climb in seconds
ddp:DDP_00024,Physical outcomes: North Star Assesment?
ddp:DDP_00025,Physical outcomes: North Star Assessment score in points
ddp:DDP_00026,Physical outcomes: Come up from supine to standing - Come up from supine to standing test?
ddp:DDP_00027,Physical outcomes: Come up from supine to standing in seconds
ddp:DDP_00028,Physical outcomes: Wheelchair outdoors
ddp:DDP_00029,Physical outcomes: Fulltime wheelchair
ddp:DDP_00030,Physical outcomes: Loss of ambulation date
ddp:DDP_00031,Physical outcomes: Heel contracture
ddp:DDP_00032,Physical outcomes: Hands / Fingers contracture
ddp:DDP_00033,Physical outcomes: Foot contracture
ddp:DDP_00034,Physical outcomes: Jaw contracture (limited mouthopening)
ddp:DDP_00035,Physical outcomes: Knee contracture
ddp:DDP_00036,Physical outcomes: Scoliosis  contracture
ddp:DDP_00037,Physical outcomes: Schouder contracture
ddp:DDP_00038,Physical outcomes: Neck contracture
ddp:DDP_00039,Physical outcomes: Elbow contracture
ddp:DDP_00040,Physical outcomes: measuring equipment - (Electronic) measuring equipment that is worn on your body, such as:
ddp:DDP_00041,Physical outcomes: Other measuring equipment that is worn on your body?
ddp:DDP_00042,Physical outcomes: Question - Do you have information to fill about your physical outcomes? (mobility, functional tests results, contractures…)
ddp:DDP_00043,Heart condition: Use of pacemaker / ICD
ddp:DDP_00044,Heart condition: heaert condition, not further specified
